"","Date","Day","Latitude","Longitude","StartDateTime","EndDateTime"
"174",2015-03-23,"Monday",45.378163,-75.75213,2015-03-23 08:00:00,2015-03-23 17:00:00
"175",2015-03-24,"Tuesday",45.378163,-75.75213,2015-03-24 08:00:00,2015-03-24 17:00:00
"176",2015-03-25,"Wednesday",45.378163,-75.75213,2015-03-25 08:00:00,2015-03-25 17:00:00
"177",2015-03-26,"Thursday",45.378163,-75.75213,2015-03-26 08:00:00,2015-03-26 17:00:00
"178",2015-03-27,"Friday",45.378163,-75.75213,2015-03-27 08:00:00,2015-03-27 17:00:00
"179",2015-03-28,"Saturday",45.378163,-75.75213,2015-03-28 08:00:00,2015-03-28 17:00:00
"180",2015-03-29,"Sunday",45.378163,-75.75213,2015-03-29 08:00:00,2015-03-29 17:00:00
"181",2015-03-30,"Monday",45.378163,-75.75213,2015-03-30 08:00:00,2015-03-30 17:00:00
"182",2015-03-31,"Tuesday",45.378163,-75.75213,2015-03-31 08:00:00,2015-03-31 17:00:00
"183",2015-04-01,"Wednesday",45.378163,-75.75213,2015-04-01 08:00:00,2015-04-01 17:00:00
"184",2015-04-02,"Thursday",45.378163,-75.75213,2015-04-02 08:00:00,2015-04-02 17:00:00
"185",2015-04-03,"Friday",45.378163,-75.75213,2015-04-03 08:00:00,2015-04-03 17:00:00
"186",2015-04-04,"Saturday",45.378163,-75.75213,2015-04-04 08:00:00,2015-04-04 17:00:00
"187",2015-04-05,"Sunday",45.378163,-75.75213,2015-04-05 08:00:00,2015-04-05 17:00:00
"188",2015-04-06,"Monday",45.378163,-75.75213,2015-04-06 08:00:00,2015-04-06 17:00:00
"189",2015-04-07,"Tuesday",45.378163,-75.75213,2015-04-07 08:00:00,2015-04-07 17:00:00
"190",2015-04-08,"Wednesday",45.378163,-75.75213,2015-04-08 08:00:00,2015-04-08 17:00:00
"191",2015-04-09,"Thursday",45.378163,-75.75213,2015-04-09 08:00:00,2015-04-09 17:00:00
"192",2015-04-10,"Friday",45.378163,-75.75213,2015-04-10 08:00:00,2015-04-10 17:00:00
"193",2015-04-11,"Saturday",45.378163,-75.75213,2015-04-11 08:00:00,2015-04-11 17:00:00
"194",2015-04-12,"Sunday",45.378163,-75.75213,2015-04-12 08:00:00,2015-04-12 17:00:00
"195",2015-04-13,"Monday",45.378163,-75.75213,2015-04-13 08:00:00,2015-04-13 17:00:00
"196",2015-04-14,"Tuesday",45.378163,-75.75213,2015-04-14 08:00:00,2015-04-14 17:00:00
"197",2015-04-15,"Wednesday",45.378163,-75.75213,2015-04-15 08:00:00,2015-04-15 17:00:00
"198",2015-04-16,"Thursday",45.378163,-75.75213,2015-04-16 08:00:00,2015-04-16 17:00:00
"199",2015-04-17,"Friday",45.378163,-75.75213,2015-04-17 08:00:00,2015-04-17 17:00:00
"200",2015-04-18,"Saturday",45.378163,-75.75213,2015-04-18 08:00:00,2015-04-18 17:00:00
"201",2015-04-19,"Sunday",45.378163,-75.75213,2015-04-19 08:00:00,2015-04-19 17:00:00
"202",2015-04-20,"Monday",45.378163,-75.75213,2015-04-20 08:00:00,2015-04-20 17:00:00
"203",2015-04-21,"Tuesday",45.378163,-75.75213,2015-04-21 08:00:00,2015-04-21 17:00:00
"204",2015-04-22,"Wednesday",45.378163,-75.75213,2015-04-22 08:00:00,2015-04-22 17:00:00
"205",2015-04-23,"Thursday",45.378163,-75.75213,2015-04-23 08:00:00,2015-04-23 17:00:00
"206",2015-04-24,"Friday",45.378163,-75.75213,2015-04-24 08:00:00,2015-04-24 17:00:00
"207",2015-04-25,"Saturday",45.378163,-75.75213,2015-04-25 08:00:00,2015-04-25 17:00:00
"208",2015-04-26,"Sunday",45.378163,-75.75213,2015-04-26 08:00:00,2015-04-26 17:00:00
"209",2015-04-27,"Monday",45.378163,-75.75213,2015-04-27 08:00:00,2015-04-27 17:00:00
"210",2015-04-28,"Tuesday",45.378163,-75.75213,2015-04-28 08:00:00,2015-04-28 17:00:00
"211",2015-04-29,"Wednesday",45.378163,-75.75213,2015-04-29 08:00:00,2015-04-29 17:00:00
"212",2015-04-30,"Thursday",45.378163,-75.75213,2015-04-30 08:00:00,2015-04-30 17:00:00
